candidate_id,rank,score,reasoning
CAND_0043829,54,1.0,"Good fit for the technical role with 4.8 years in the field. Background includes working with Qdrant, Information Retrieval at Observe.AI; active profile (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0045475,55,1.0,"Solid ML/software professional with 4.9 years of experience. Experienced in Pinecone, QLoRA, FAISS; candidate is based in Delhi, Delhi (willing to relocate to Pune/Noida) with a 60-day notice period."
CAND_0045828,56,1.0,"Competent engineer with 3.1 years of experience, currently a Senior Data Engineer at Globex Inc. Demonstrates background in Embeddings; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0046132,57,1.0,"Solid ML/software professional with 4.3 years of experience. Experienced in Information Retrieval, Fine-tuning LLMs; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a short 30-day notice period."
CAND_0046459,58,1.0,"Solid ML/software professional with 4.5 years of experience. Experienced in Qdrant, RAG; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0046525,59,1.0,"Solid ML/software professional with 6.1 years of experience. Experienced in Information Retrieval, LLMs, NLP; candidate is based in Pune, Maharashtra (no relocation needed) with a 60-day notice period."
CAND_0047542,60,1.0,"Solid ML/software professional with 5.0 years of experience. Experienced in Learning to Rank, Weaviate, Embeddings; candidate is based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) with a 45-day notice period."
CAND_0048558,61,1.0,"Competent engineer with 6.7 years of experience, currently a Data Scientist at Rephrase.ai. Demonstrates background in Information Retrieval, Qdrant; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0049340,62,1.0,"Good fit for the technical role with 3.7 years in the field. Background includes working with LLMs, Milvus, Pinecone at Mad Street Den; active profile (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0050297,63,1.0,"Good fit for the technical role with 3.1 years in the field. Background includes working with Learning to Rank, Information Retrieval at Krutrim; active profile (a 45-day notice period)."
CAND_0050454,64,1.0,"Competent engineer with 6.8 years of experience, currently a AI Engineer at Rephrase.ai. Demonstrates background in QLoRA, Fine-tuning LLMs, FAISS; based in Delhi, Delhi (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0050742,65,1.0,"Competent engineer with 4.3 years of experience, currently a Data Engineer at Meesho. Demonstrates background in Pinecone; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0051004,66,1.0,"Solid ML/software professional with 4.7 years of experience. Experienced in Embeddings, Qdrant, Fine-tuning LLMs; candidate is based in Delhi, Delhi (willing to relocate to Pune/Noida) with a short 15-day notice period."
CAND_0052328,67,1.0,"Good fit for the technical role with 6.5 years in the field. Background includes working with LoRA, QLoRA, Learning to Rank at Amazon; active profile (a short 30-day notice period)."
CAND_0053605,68,1.0,"Solid ML/software professional with 6.9 years of experience. Experienced in RAG; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a short 30-day notice period."
CAND_0054394,69,1.0,"Solid ML/software professional with 4.1 years of experience. Experienced in Fine-tuning LLMs, Embeddings, Pinecone; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0054546,70,1.0,"Competent engineer with 4.9 years of experience, currently a AI Research Engineer at Razorpay. Demonstrates background in Qdrant, Learning to Rank, LoRA; based in Pune, Maharashtra (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0055924,71,1.0,"Solid ML/software professional with 5.3 years of experience. Experienced in LoRA, RAG; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a 60-day notice period."
CAND_0056617,72,1.0,"Solid ML/software professional with 4.5 years of experience. Experienced in FAISS; candidate is based in Kolkata, West Bengal (willing to relocate to Pune/Noida) with a 45-day notice period."
CAND_0056811,73,1.0,"Competent engineer with 4.8 years of experience, currently a Data Engineer at Vedantu. Demonstrates background in LoRA, LLMs, QLoRA; based in Noida, Uttar Pradesh (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0060120,74,1.0,"Competent engineer with 7.7 years of experience, currently a .NET Developer at Globex Inc. Demonstrates background in QLoRA; based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0060392,75,1.0,Good fit for the technical role with 5.2 years in the field. Background includes working with  at Meesho; active profile (a short 30-day notice period).
CAND_0060538,76,1.0,"Solid ML/software professional with 5.2 years of experience. Experienced in Embeddings, Milvus; candidate is based in Pune, Maharashtra (no relocation needed) with a 90-day notice period; minor concern is a longer 90-day notice period."
CAND_0060699,77,1.0,"Competent engineer with 3.1 years of experience, currently a ML Engineer at PharmEasy. Demonstrates background in Embeddings, FAISS, Fine-tuning LLMs; based in Mumbai, Maharashtra (willing to relocate to Pune/Noida) (a 60-day notice period)."
CAND_0061257,78,1.0,"Competent engineer with 8.0 years of experience, currently a Staff Machine Learning Engineer at LinkedIn. Demonstrates background in Machine Learning, Python; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0064270,79,1.0,"Solid ML/software professional with 4.2 years of experience. Experienced in Learning to Rank, Embeddings; candidate is based in Pune, Maharashtra (no relocation needed) with a 45-day notice period."
CAND_0065430,80,1.0,"Competent engineer with 4.4 years of experience, currently a ML Engineer at Mad Street Den. Demonstrates background in Pinecone, Milvus; based in Mumbai, Maharashtra (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0065514,81,1.0,"Competent engineer with 6.6 years of experience, currently a ML Engineer at Genpact AI. Demonstrates background in Vector Search, Pinecone, Milvus; based in Pune, Maharashtra (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0065560,82,1.0,"Solid ML/software professional with 9.3 years of experience. Experienced in Fine-tuning LLMs; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0066623,83,1.0,"Good fit for the technical role with 6.3 years in the field. Background includes working with Learning to Rank, Information Retrieval at Nykaa; active profile (a 60-day notice period)."
CAND_0066690,84,1.0,"Competent engineer with 4.8 years of experience, currently a ML Engineer at Freshworks. Demonstrates background in Pinecone; based in Gurgaon, Haryana (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0066999,85,1.0,"Competent engineer with 5.9 years of experience, currently a Recommendation Systems Engineer at Microsoft. Demonstrates background in FAISS, LLMs, Pinecone; based in Delhi, Delhi (willing to relocate to Pune/Noida) (a short 15-day notice period)."
CAND_0067866,86,1.0,"Competent engineer with 6.4 years of experience, currently a Senior Software Engineer (ML) at Tech Mahindra. Demonstrates background in Embeddings, LoRA, Qdrant; based in Noida, Uttar Pradesh (no relocation needed) (a 45-day notice period)."
CAND_0068811,87,1.0,"Competent engineer with 8.0 years of experience, currently a Applied ML Engineer at Freshworks. Demonstrates background in Vector Search, Qdrant, Embeddings; based in Pune, Maharashtra (no relocation needed) (a short 30-day notice period)."
CAND_0071020,88,1.0,"Solid ML/software professional with 9.9 years of experience. Experienced in Data Science; candidate is based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) with a short 30-day notice period."
CAND_0071939,89,1.0,"Good fit for the technical role with 6.4 years in the field. Background includes working with Embeddings, QLoRA, NLP at Krutrim; active profile (a short 30-day notice period)."
CAND_0072688,90,1.0,"Solid ML/software professional with 6.9 years of experience. Experienced in Milvus, LoRA, NLP; candidate is based in Pune, Maharashtra (no relocation needed) with a 45-day notice period."
CAND_0073314,91,1.0,"Competent engineer with 5.2 years of experience, currently a Senior Software Engineer (ML) at Aganitha. Demonstrates background in Milvus, Weaviate; based in Noida, Uttar Pradesh (no relocation needed) (a 60-day notice period)."
CAND_0073620,92,1.0,"Competent engineer with 4.4 years of experience, currently a AI Research Engineer at TCS. Demonstrates background in LoRA, Embeddings, FAISS; based in Noida, Uttar Pradesh (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0074098,93,1.0,"Solid ML/software professional with 4.9 years of experience. Experienced in LLMs, Fine-tuning LLMs, LoRA; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0075574,94,1.0,"Solid ML/software professional with 5.7 years of experience. Experienced in Weaviate, Qdrant, Vector Search; candidate is based in Bangalore, Karnataka (willing to relocate to Pune/Noida) with a 60-day notice period."
CAND_0076625,95,1.0,Good fit for the technical role with 5.1 years in the field. Background includes working with RAG at Meesho; active profile (a short 30-day notice period).
CAND_0077837,96,1.0,"Good fit for the technical role with 4.8 years in the field. Background includes working with Information Retrieval, QLoRA at Acme Corp; active profile (a short 30-day notice period)."
CAND_0079468,97,1.0,"Solid ML/software professional with 5.8 years of experience. Experienced in NLP, LoRA; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0081852,98,1.0,"Competent engineer with 5.9 years of experience, currently a Senior Data Scientist at Mad Street Den. Demonstrates background in Milvus, Weaviate, Vector Search; based in Delhi, Delhi (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0083007,99,1.0,"Competent engineer with 5.2 years of experience, currently a Data Engineer at Accenture. Demonstrates background in QLoRA; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0083879,100,1.0,"Good fit for the technical role with 7.1 years in the field. Background includes working with Fine-tuning LLMs, Milvus at Ola; active profile (a short 30-day notice period)."
